ID,Number of Cities,Std. Dev. of Distance Matrix,X Coord. of Centroid,Y Coord. of Centroid,Radius of Customer Position,Fraction of Distinct Distance Matrix,Std. Dev. of Nearest Neighbor Distance,CV of Nearest Neighbor Distance,Ratio of Clusters to Total Customers,Ratio of Outlier Customers to Total Customers,Ratio of Edge Customers to Total Customers,Number of Clusters,Avg. Cluster Radius,X Coord. of Depot,Y Coord. of Depot,Std. Dev. of Customer Demand,Ratio of Total Demand to Total Capacity,Ratio of Max. Cluster Demand to Total Capacity,Ratio of Outlier Demand to Total Demand,Ratio of Max. Demand to Vehicle Capacity,Avg. Route Length,Area of Instance,Min. Number of Trucks,Label
22,39,120.9325676,256.5,251,180.8791899,0.97,23.02389765,0.496381372,0.025641026,0.102564103,0.153846154,1,166.7518277,62,259,0.207115401,0.948801743,5.006535948,0.120551091,0.633986928,6.5,230860,6,CW
23,49,124.6261639,250,250,187.0182241,0.03,5.676480972,0.111735646,0.020408163,0,0,1,187.0182241,0,0,0.098920454,0.964,9.64,0,0.4,4.9,213750,10,CW
24,189,122.2197497,246.5,250,188.6700899,0.01,0.163542178,0.012596469,0.026455026,0,0.052910053,5,123.6405405,145,157,0.085200589,0.950126796,3.184065934,0,0.269230769,14.53846154,192400,13,CW
25,174,122.0989152,245,250,186.9148207,0.01,3.041176794,0.213717499,0.028735632,0,0.057471264,5,121.72,0,0,0.124440399,0.963381057,4.938325991,0,0.440528634,10.875,217350,16,CW
26,174,153.8675786,256,255,207.0947392,0.61,12.34989609,0.867568117,0.034482759,0.103448276,0.08045977,6,35.83054846,250,250,0.051214266,0.979985007,26.43103448,0.097605752,0.344827586,3.782608696,230384,46,CW
27,139,131.6801562,250.5,248,204.3908269,0.77,12.40200294,0.636751426,0.050359712,0.079136691,0.100719424,7,51.15852261,159,277,0.062872258,0.995339912,3.956140351,0.094051226,0.219298246,8.6875,241572,16,CW
28,154,121.7875261,251,254.5,163.2001034,0.66,12.88079586,0.75381567,0.025974026,0.175324675,0.090909091,4,51.46970437,376,89,0.121009137,0.992727273,16.32,0.157509158,0.4,4.666666667,229648,33,CW
29,184,145.2847756,250.5,245.5,215.855732,0.58,19.37832714,1.17506073,0.016304348,0.130434783,0.048913043,3,54.59129522,0,0,0.028321864,0.994144014,15.01315789,0.135844666,0.187969925,7.076923077,244518,26,CW
30,114,121.4724428,241,250,185.1864619,0.02,3.527690338,0.1653944,0.043859649,0,0.087719298,5,119.5173913,0,0,0.118553234,0.978211382,5.386178862,0,0.406504065,4.56,212400,25,CW
31,169,129.1492401,243,249,200.9473123,0.68,12.89304227,0.651597799,0.035502959,0.289940828,0.112426036,6,42.5635679,269,186,0.079679859,0.91532072,4.71319797,0.344592891,0.251269036,15.36363636,238128,11,CW
32,64,121.3063719,243,252.5,176.451256,0.93,21.28210998,0.684111238,0.078125,0.1875,0.1875,5,56.56506359,0,0,0.070690154,0.928205128,2.58974359,0.223756906,0.256410256,6.4,239580,10,CW
33,184,77.39025999,156,248,117.6664471,0.34,9.095523217,0.764649379,0.010869565,0.14673913,0.076086957,2,50.74826643,0,0,0.022111115,0.995906937,18.08688784,0.14766746,0.157977883,8.363636364,154440,22,CW
34,74,112.0484113,224,256,161.7272388,0.89,15.82359437,0.687242898,0.081081081,0.135135135,0.148648649,6,37.47556438,47,84,0.043804925,0.982821447,6.755162242,0.129590395,0.294985251,4.352941176,218624,17,CW
35,139,125.1776238,252,249,189.0254791,0.76,12.91238541,0.55883123,0.057553957,0.251798561,0.151079137,8,40.73148951,0,0,1.39E-17,0.965277778,4.888888889,0.251798561,0.111111111,8.6875,247008,16,CW
36,184,120.6364665,240,250,186.8521746,0,0.311076369,0.023988799,0.027173913,0,0.054347826,5,120.7575075,250,250,0.02037503,0.956267409,3.986072423,0,0.139275766,9.2,187200,20,CW
37,54,108.7578882,254,279,161.69311,0.92,19.0258717,0.627320981,0.055555556,0.148148148,0.111111111,3,74.21953958,349,453,0.031182604,0.916214995,4.317073171,0.141483855,0.203252033,6,183600,9,CW
38,24,119.5562766,249,260.5,169.9249873,0.97,32.25130038,0.726856525,0.041666667,0.166666667,0.041666667,1,153.0851123,250,250,0.02611085,0.550847458,0.898305085,0.184615385,0.084745763,12,187866,2,CW
39,119,134.7727386,251.5,253,202.1450824,0.82,15.65450541,0.626454084,0.016806723,0.294117647,0.084033613,2,87.26662374,0,0,0.023978947,0.997833153,6.521126761,0.287730727,0.14084507,9.153846154,246506,13,CW
40,174,121.6095909,245,250,187.421468,0.01,2.150615625,0.15185206,0.028735632,0,0.057471264,5,122.5435294,150,91,0.019228141,0.944683908,3.057471264,0,0.114942529,10.875,190400,16,CW
41,169,114.9927098,249,256.5,168.6847782,0.63,10.69895185,0.599120322,0.017751479,0.100591716,0.088757396,3,76.79044176,250,250,0.025061937,0.956390977,14.38571429,0.102987421,0.142857143,8.894736842,230838,19,CW
42,164,127.9719409,250,250.5,197.2738112,0.71,10.52988732,0.513280578,0.024390244,0.054878049,0.140243902,4,89.18686737,201,156,0.059719384,0.957509881,10.45652174,0.055727554,0.217391304,7.454545455,248500,22,CW
43,174,119.5233497,253.5,248.5,174.9454486,0.61,11.90743562,0.642956847,0.022988506,0.137931034,0.08045977,4,58.71644272,250,250,0.025121418,0.965909091,14.48484848,0.128627451,0.151515152,8.7,244027,20,CW
44,129,122.183772,246.5,250,188.7292478,0.02,1.058122186,0.055419949,0.03875969,0,0.07751938,5,123.652,140,324,0.022810572,0.998248326,3.109737249,0,0.154559505,8.6,190000,15,CW
45,199,124.4105267,247.5,248,189.7841162,0.6,9.790659377,0.570811375,0.085427136,0.211055276,0.24120603,17,29.12033934,250,250,0.018084245,0.966099476,2.990837696,0.214198618,0.130890052,9.95,242554,20,CW
46,64,127.0021179,248.5,249,197.6181654,0.94,19.52266079,0.564710636,0.046875,0.078125,0.21875,3,88.80844427,250,250,0.122029623,0.927545484,8.950207469,0.090158293,0.402489627,4.923076923,244528,13,CW
47,144,130.9705432,249,251,202.935519,0.78,11.65154326,0.52747494,0.076388889,0.104166667,0.263888889,11,45.43883829,198,119,0.062070506,0.964383188,3.102620087,0.101598981,0.216157205,9,247008,16,CW
48,169,125.0167705,250.5,235.5,186.9696676,0.64,11.1138535,0.687670694,0.035502959,0.130177515,0.124260355,6,44.17588169,57,433,0.025022526,0.96444046,8.817869416,0.132842758,0.171821306,7.347826087,233033,23,CW
49,114,120.9714103,253,249.5,178.3776672,0.82,15.02783388,0.607409294,0.052631579,0.315789474,0.157894737,6,42.62532204,378,59,0.093494432,0.979286927,8.232258065,0.274445215,0.316129032,6,241516,19,CW
50,174,137.4992895,249,250.5,214.304103,0.7,12.63413686,0.660490378,0.034482759,0.287356322,0.103448276,6,45.42162992,424,265,0.020724679,0.948283355,5.547588005,0.281698747,0.130378096,9.666666667,246510,18,CW
51,124,123.5168294,250,250,188.5069044,0.01,3.426507542,0.168739643,0.040322581,0,0.080645161,5,123.84,0,0,0.074431793,0.961396011,3.684615385,0,0.256410256,6.888888889,220500,18,CW
52,199,123.8142553,250.5,243.5,183.8748492,0.54,13.24816848,0.857574474,0.020100503,0.125628141,0.065326633,4,52.67513229,0,0,0.034531806,0.981373313,12.88317757,0.124198135,0.23364486,5.527777778,243000,36,CW
53,114,128.7130985,245.5,243.5,194.6771869,0.82,14.00491187,0.585150979,0.043859649,0.157894737,0.087719298,5,59.40621548,0,0,0.029432161,0.973214286,2.916666667,0.145259939,0.104166667,16.28571429,236680,7,CW
54,174,128.2368666,250,250,194.1572072,0.68,10.19095145,0.528538034,0.051724138,0.074712644,0.114942529,9,47.05175625,70,142,0.02529402,0.970684524,6.6328125,0.069906485,0.15625,8.285714286,249000,21,CW
55,169,127.9250893,249.5,250.5,195.6974441,0.69,10.24808967,0.54747962,0.053254438,0.041420118,0.177514793,9,47.73863833,0,0,0.034807877,0.972084367,15.62019231,0.040443523,0.240384615,5.451612903,248502,31,CW
56,144,152.5124453,236.5,248.5,203.4735533,0.72,14.875283,0.897389932,0.020833333,0.277777778,0.076388889,3,44.35442229,0,0,0.117655904,0.954336735,4.760714286,0.322908313,0.353571429,10.28571429,231602,14,CW
57,184,138.322817,242.5,248.5,202.6289492,0.63,12.20597106,0.751197705,0.02173913,0.114130435,0.076086957,4,58.1350588,0,0,0.088025276,0.996969697,15.36363636,0.117527862,0.303030303,6.133333333,237144,30,CW
58,94,124.8198642,246,249.5,188.1506433,0.87,16.08061004,0.548922657,0.063829787,0.138297872,0.159574468,6,59.52620343,128,472,0.083203538,0.972274338,5.485094851,0.151157804,0.27100271,7.230769231,244524,13,CW
59,89,132.0939307,245.5,249,189.5810676,0.88,19.56521274,0.693305991,0.04494382,0.303370787,0.134831461,4,43.97344916,185,473,0.057412895,0.961309524,2.009920635,0.287409701,0.19047619,22.25,241552,4,CW
60,144,130.5547869,248,250,201.2263129,0.77,11.70744226,0.553372798,0.027777778,0.097222222,0.145833333,4,90.57808006,453,48,0.022559248,0.996396396,6.135135135,0.095840868,0.135135135,9.6,245000,15,CW
61,109,126.3095483,247,278,172.841159,0.81,14.10840136,0.670304338,0.027522936,0.201834862,0.082568807,3,65.12962487,0,0,1.39E-17,0.990909091,7.4,0.201834862,0.1,9.909090909,241000,11,CW
62,139,127.7884889,253.5,248.5,182.0084506,0.71,15.24178198,0.899060445,0.028776978,0.244604317,0.115107914,4,39.4891643,413,402,0.095897867,0.978064516,9.741935484,0.23878628,0.322580645,5.56,240075,25,CW
63,179,119.1189319,233.5,250,184.3842921,0,0.315343211,0.024319528,0.027932961,0,0.055865922,5,117.5571429,250,250,0.052507868,0.994245338,10.06993007,0,0.34965035,3.729166667,182000,48,CW
64,199,118.6999532,250,246.5,184.9275094,0.58,9.081221374,0.494111406,0.060301508,0.211055276,0.175879397,12,37.6633648,250,250,0.098158597,0.99009009,4.6,0.204731574,0.333333333,5.378378378,245514,37,CW
65,94,122.2194127,247,250,190.2884727,0,0.43296421,0.016693019,0.053191489,0,0.106382979,5,124.5263158,250,250,0.076536073,0.944444444,2.805555556,0,0.277777778,6.714285714,187200,14,CW
66,69,129.1216591,260,246,193.9580555,0.93,19.69985243,0.598801478,0.014492754,0.101449275,0.072463768,1,186.1407982,396,396,0.102433328,0.9348434,10.19127517,0.09153455,0.332214765,5.75,231336,12,CW
67,169,99.57607983,272.5,112.5,127.2710241,0.45,8.494790367,0.773746317,0.023668639,0.207100592,0.082840237,4,30.10897034,0,0,0.095260351,0.997849462,18.1,0.219827586,0.333333333,5.451612903,110656,31,CW
68,119,120.1473269,240,250,184.7120744,0.02,0.458260477,0.022865198,0.042016807,0,0.084033613,5,118.9565217,495,151,0.024387285,0.948622881,3.071186441,0,0.169491525,7.4375,194000,16,CW
69,84,141.149314,249.5,245.5,203.0804812,0.89,20.33238638,0.771245492,0.047619048,0.238095238,0.083333333,4,47.33975043,116,328,0.036174556,0.948484848,7.568181818,0.226837061,0.227272727,5.6,244011,15,CW
70,189,119.1559667,246.5,251.5,183.3164833,0.59,10.90348298,0.615967058,0.026455026,0.105820106,0.084656085,5,62.8228026,0,0,0.028975199,0.985416667,12.21666667,0.105003524,0.166666667,7.875,241566,24,CW
71,134,127.5756659,249.5,250,193.8158597,0.79,13.42355815,0.574864231,0.074626866,0.253731343,0.201492537,10,40.17186258,0,0,1.39E-17,0.937062937,1.615384615,0.253731343,0.076923077,12.18181818,249000,11,CW
72,149,97.50416193,238,346.5,146.8775993,0.52,12.40345267,0.956719387,0.033557047,0.22147651,0.080536913,5,26.26275397,498,422,6.94E-18,0.919753086,3.611111111,0.22147651,0.055555556,16.55555556,152579,9,CW
73,159,133.5387607,248.5,266,193.269925,0.68,16.48751945,0.890748019,0.025157233,0.113207547,0.100628931,4,53.07634938,250,250,0.063979455,0.964285714,8.272727273,0.117845118,0.227272727,7.571428571,231602,21,CW
74,169,128.0988692,240.5,249.5,189.3008162,0.64,12.37684375,0.77212122,0.029585799,0.177514793,0.094674556,5,43.86185908,250,250,0.019876802,0.993156478,10.68888889,0.164679467,0.130718954,9.941176471,240019,17,CW
75,179,119.1189319,233.5,250,184.3842921,0,0.315343211,0.024319528,0.027932961,0,0.055865922,5,117.5571429,250,250,0.029920757,0.986274792,5.657947686,0,0.201207243,6.392857143,182000,28,CW
76,154,152.5631295,245,241,216.4294311,0.7,11.92846724,0.766846146,0.032467532,0.155844156,0.103896104,5,45.42716475,0,0,0.030722758,0.990541251,8.412331407,0.153580902,0.192678227,7,235690,22,CW
77,154,119.5963123,253.5,249.5,165.9675494,0.68,13.02189389,0.665167766,0.045454545,0.116883117,0.11038961,7,41.45830462,0,0,0.054813647,0.98719245,27.84108527,0.122311369,0.387596899,3.347826087,249001,46,CW
78,199,106.9835053,219.5,246.5,154.5045079,0.46,9.885368799,0.69046101,0.015075377,0.095477387,0.085427136,3,59.90604032,250,250,1.39E-17,0.995,16.1,0.095477387,0.1,9.95,211945,20,CW
79,94,122.9700231,247,250,187.0137426,0.02,3.838324081,0.145425196,0.053191489,0,0.106382979,5,121.9263158,0,0,0.035240265,0.956691851,3.44266055,0,0.229357798,5.529411765,216450,17,CW
80,129,121.025882,252,249,170.92518,0.76,16.72884226,0.774969039,0.031007752,0.240310078,0.093023256,4,44.01399766,0,0,0.029067358,0.99367368,2.978372812,0.217796861,0.102986612,18.42857143,248500,7,CW
81,199,120.517803,240,250,186.6460678,0,0.398993709,0.033360678,0.025125628,0,0.050251256,5,120.5846154,250,250,1.39E-17,0.995,4,0,0.1,9.95,187200,20,CW
82,79,123.3818225,247.5,250,187.2115519,0.03,4.130146241,0.131275099,0.063291139,0,0.126582278,5,122.3466667,0,0,0.137742224,0.96255814,4.376744186,0,0.465116279,3.95,216000,20,CW
83,69,122.8022242,244.5,250,185.8517903,0.03,4.438930272,0.124932764,0.072463768,0,0.144927536,5,120.6153846,0,0,0.059967784,0.947845805,1.816326531,0,0.204081633,7.666666667,212400,9,CW
84,69,138.2866977,261.5,236,207.0265621,0.92,16.66673168,0.659752238,0.057971014,0.072463768,0.115942029,4,58.77878357,201,350,0.260226847,0.973376623,7.981818182,0.053368913,0.890909091,4.928571429,224200,14,CW
85,84,122.5294455,252,251,179.1064428,0.89,17.51682444,0.782405589,0.083333333,0.214285714,0.178571429,7,35.1561207,0,0,0.010757149,0.987424242,1.096212121,0.231241369,0.075757576,16.8,244524,5,CW
86,84,122.1294504,246,250,189.2608927,0.02,0.445346376,0.015331235,0.05952381,0,0.119047619,5,123.2713235,348,220,0.030772602,0.966101695,2.254237288,0,0.169491525,7.636363636,185600,11,CW
87,104,125.976375,249,248.5,197.570684,0.86,13.86090029,0.566421883,0.057692308,0.096153846,0.182692308,6,63.06775765,250,250,0.026666282,0.973674589,4.52285192,0.093128051,0.182815356,6.933333333,241566,15,CW
88,144,135.7143945,254,258,206.8507878,0.76,15.30242205,0.713391587,0.041666667,0.256944444,0.111111111,6,45.11967887,0,0,0,1,9.25,0.256944444,0.25,4,248500,36,CW
89,154,122.7385354,249.5,251.5,185.2233078,0.71,11.45409292,0.493658897,0.045454545,0.090909091,0.181818182,7,53.90614431,0,0,0.231889054,0.985899281,12.17985612,0.079100992,0.71942446,6.16,249500,25,CW
90,189,122.1596973,246.5,250,188.2000854,0.01,0.433375278,0.03325613,0.026455026,0,0.052910053,5,123.5702703,143,432,0.017431347,0.994778977,3.59408284,0,0.118343195,11.11764706,192400,17,CW
91,29,128.4112069,244.5,247,196.7402748,1,27.91529502,0.589895719,0.068965517,0.24137931,0.068965517,2,69.75843329,250,250,0.126893284,0.824115044,2.123893805,0.222818792,0.35840708,7.25,226088,4,CW
92,159,129.2512004,249.5,251,198.8063868,0.73,10.7948769,0.546638103,0.075471698,0.176100629,0.182389937,12,35.60854755,288,457,0.084098761,0.991944082,4.539509537,0.15382778,0.272479564,6.913043478,239610,23,CW
93,139,120.0451373,237.5,250,186.2360792,0,0.476368586,0.02811619,0.035971223,0,0.071942446,5,119.8185185,250,250,0.035325613,0.995145631,2.14684466,0,0.118932039,15.44444444,183600,9,CW
94,179,116.5788436,250.5,257,171.4005739,0.61,11.58747063,0.630732853,0.016759777,0.055865922,0.117318436,3,76.77304301,324,104,0.014759492,0.931622746,11.18640777,0.052925413,0.096116505,12.78571429,240518,14,CW
95,84,126.1782401,249,261,190.2058034,0.88,17.38049026,0.690247219,0.047619048,0.166666667,0.119047619,4,59.60376077,295,486,0.04482797,0.942724458,8.368421053,0.165845649,0.263157895,4.941176471,233240,17,CW
96,89,127.5186677,249.5,260,193.1270353,0.9,15.07315746,0.615369371,0.056179775,0.179775281,0.157303371,5,56.29120295,0,0,0,0.927083333,3.5,0.179775281,0.125,7.416666667,246500,12,CW
97,149,127.1414254,248,249.5,192.1690967,0.74,11.29814729,0.532420638,0.040268456,0.060402685,0.161073826,6,71.22141312,250,250,0.074320048,0.988486842,6.484375,0.071131448,0.260416667,7.842105263,247504,19,CW
98,179,120.0890814,249.5,250,177.5552868,0.63,11.36358427,0.60283092,0.033519553,0.106145251,0.139664804,6,57.74042186,136,247,0.066491116,0.955377207,12.3752809,0.110551075,0.224719101,8.523809524,242526,21,CW
99,189,122.2234015,246.5,250,189.3746654,0,0.306978157,0.023671205,0.026455026,0,0.052910053,5,124.1324324,250,250,5.55E-17,1,5.428571429,0,0.142857143,7,192400,27,CW
100,39,124.6827637,248,250,185.6373571,0.05,6.891998403,0.109241226,0.025641026,0,0.128205128,1,185.6373571,0,0,1.39E-17,0.722222222,2.166666667,0,0.055555556,13,209250,3,CW
101,129,130.1795205,252.5,250,199.1413223,0.79,11.4975573,0.519549461,0.046511628,0.015503876,0.147286822,6,77.19007308,75,251,0.026616437,0.966796875,8.640625,0.015151515,0.15625,8.0625,244530,16,CW
102,149,120.5173919,240,250,186.9224982,0,0.230163836,0.014409255,0.033557047,0,0.067114094,5,120.7724138,250,250,0.023994818,0.944615122,3.537634409,0,0.153609831,8.277777778,185600,18,CW
103,169,119.9639221,249.5,251.5,177.4794566,0.65,14.98441546,0.834218887,0.047337278,0.189349112,0.147928994,8,35.55225393,0,0,0.064014323,0.991735537,4.227272727,0.192708333,0.227272727,7.681818182,248003,22,CW
104,134,126.6539044,246.5,253.5,191.869341,0.78,12.01999271,0.595469529,0.067164179,0.082089552,0.164179104,9,44.79563441,0,0,0.022604434,0.968097337,7.941368078,0.088273132,0.16286645,7.882352941,242536,17,CW
105,84,135.9854759,238.5,248.5,200.6675984,0.9,20.90530465,0.74605661,0.047619048,0.154761905,0.071428571,4,67.54533897,0,0,0.066311387,0.976190476,6.904761905,0.152993348,0.238095238,7.636363636,236592,11,CW
106,169,119.6196298,251,250,172.5153589,0.63,12.35184688,0.638894839,0.023668639,0.100591716,0.094674556,4,62.85665334,174,368,0.105815146,0.987903226,25.22580645,0.094671202,0.35483871,5.28125,246000,32,CW
107,64,142.9614298,244.5,250,210.0896014,0.96,19.81577124,0.610279841,0.0625,0.09375,0.15625,4,80.3752604,0,0,0.033293173,0.9954138,2.729831144,0.082513089,0.187617261,7.111111111,241566,9,CW
108,149,126.6004958,249.5,250,196.3537882,0.75,10.47441563,0.530063364,0.053691275,0.120805369,0.147651007,8,51.44824981,250,250,0.030207044,0.998812135,6.346491228,0.115725917,0.219298246,6.208333333,248502,24,CW
109,194,119.4550845,234,250,182.8381802,0.01,2.946191192,0.241273912,0.025773196,0,0.051546392,5,116.3384615,0,0,0.024132885,0.989966555,5.071906355,0,0.16722408,7.76,207900,25,CW
110,139,119.3817214,255.5,247,180.0708965,0.75,10.68998954,0.450476044,0.028776978,0.057553957,0.179856115,4,86.29618009,0,0,0.019672945,0.944579397,7.149797571,0.054481379,0.134952767,9.266666667,246506,15,CW
111,119,126.8626342,253,250,186.912331,0.8,14.17205619,0.640074846,0.092436975,0.151260504,0.268907563,11,34.27763853,0,0,0.098950258,0.937175793,4.043227666,0.103321033,0.282420749,11.9,247000,10,CW
112,189,131.7254515,246.5,251.5,187.2585936,0.61,12.35257064,0.750662361,0.015873016,0.105820106,0.063492063,3,78.17957617,132,267,0.016857753,0.958958756,8.15862069,0.100472397,0.114942529,11.11764706,245021,17,CW
113,139,120.0451373,237.5,250,186.2360792,0,0.476368586,0.02811619,0.035971223,0,0.071942446,5,119.8185185,250,250,0,0.992857143,7,0,0.25,3.971428571,183600,35,CW
114,129,145.2331698,248,249,212.9971466,0.81,14.49474161,0.634546576,0.046511628,0.178294574,0.139534884,6,50.67249997,0,0,0.027898491,0.931107354,2.860946746,0.167044939,0.098619329,18.42857143,246510,7,CW
115,119,121.0747944,247,249.5,183.5386847,0.81,13.78365445,0.541127706,0.016806723,0.092436975,0.092436975,2,116.144616,250,250,0,0.991666667,22.5,0.092436975,0.25,3.966666667,241566,30,CW
116,139,129.7809404,253.5,249.5,197.9048761,0.77,12.70487292,0.579169871,0.086330935,0.237410072,0.230215827,12,36.035585,489,155,0.017351749,0.946962129,1.231404959,0.222307471,0.118063754,10.69230769,244011,13,CW
117,164,122.7385351,247,250,187.8196766,0.01,3.084880004,0.202417855,0.030487805,0,0.06097561,5,122.9090909,0,0,0.199413401,0.979497354,5.895833333,0,0.694444444,7.80952381,219150,21,CW
118,159,123.246393,250.5,261,185.4444631,0.69,11.44468601,0.611247507,0.050314465,0.094339623,0.157232704,8,41.93894772,250,250,0.035239438,0.9975,13.6,0.097744361,0.2,6.625,235654,24,CW
119,179,115.7738934,246,249.5,168.6950725,0.58,13.49743419,0.771494367,0.016759777,0.12849162,0.100558659,3,73.69584265,0,0,0.189082268,0.983178054,10.94642857,0.123979995,0.595238095,7.782608696,239112,23,CW
120,194,119.0956368,234,250,183.1181945,0.01,0.119532855,0.009971156,0.025773196,0,0.051546392,5,116.3384615,9,344,0.020101608,0.985734665,4.303851641,0,0.142653352,9.238095238,182400,21,CW
121,154,115.2824476,276,238,161.7062743,0.64,11.86339472,0.678184998,0.038961039,0.188311688,0.12987013,6,39.55783194,416,327,0.090143179,0.994895537,15.75641026,0.179692161,0.320512821,5.703703704,208768,27,CW
122,99,109.8221219,265,248.5,179.9189872,0.79,20.93417129,1.089091824,0.080808081,0.222222222,0.212121212,8,27.45400432,172,347,0.029578797,0.986504723,3.245614035,0.209302326,0.175438596,7.615384615,225794,13,CW
123,64,121.2553007,256.5,244,183.9471779,0.94,17.00805903,0.503387333,0.078125,0.1875,0.09375,5,50.6189051,250,250,0.023348274,0.975331675,4.223880597,0.182784272,0.164179104,8,236682,8,CW
